log_id,actor_id,actor_role,action,table_name,record_id,ip_address,session_id,log_time
1,71,COMPLIANCE_OFFICER,UPDATE_INVESTMENT,investments,1680,192.168.44.152,SID542417,2024-10-16 03:01:47
2,60,SUPER_ADMIN,PASSWORD_CHANGED,transactions,8929,192.168.214.57,SID571029,2023-02-02 00:05:13
3,2,COMPLIANCE_OFFICER,KYC_REJECTED,compliance_checks,4553,192.168.79.56,SID900581,2024-08-26 08:51:55
4,25,FUND_MANAGER,KYC_APPROVED,sip_schedules,712,192.168.235.138,SID230889,2023-12-11 03:05:24
5,161,FUND_MANAGER,PROFILE_UPDATED,transactions,1140,192.168.23.170,SID338968,2024-01-23 02:35:18
6,60,SUPER_ADMIN,KYC_REJECTED,sip_schedules,7429,192.168.186.42,SID488162,2025-03-02 09:05:54
7,180,SUPER_ADMIN,PROFILE_UPDATED,investments,8752,192.168.125.42,SID584714,2023-12-30 06:42:17
8,177,COMPLIANCE_OFFICER,KYC_APPROVED,users,3753,192.168.16.207,SID430776,2024-01-24 08:59:40
9,146,FUND_MANAGER,UPDATE_INVESTMENT,notifications,6483,192.168.234.37,SID377746,2024-02-15 08:04:13
10,138,FUND_MANAGER,PROFILE_UPDATED,compliance_alerts,9561,192.168.204.93,SID329974,2023-05-23 07:47:35
11,194,SUPER_ADMIN,LOGOUT,investments,2622,192.168.216.153,SID166613,2023-05-22 16:31:05
12,136,FUND_MANAGER,PASSWORD_CHANGED,users,1877,192.168.136.197,SID772097,2024-01-30 12:38:29
13,41,ANALYST,LOGIN,sip_schedules,8202,192.168.91.130,SID211579,2023-12-15 03:18:27
14,164,COMPLIANCE_OFFICER,CREATE_INVESTMENT,compliance_checks,2647,192.168.0.154,SID439902,2025-06-10 20:19:53
15,93,FUND_MANAGER,UPDATE_INVESTMENT,users,3947,192.168.40.22,SID867460,2024-05-15 00:07:59
16,197,COMPLIANCE_OFFICER,CREATE_INVESTMENT,notifications,9008,192.168.84.68,SID653306,2024-05-12 02:48:34
17,139,COMPLIANCE_OFFICER,DELETE_INVESTMENT,compliance_alerts,6119,192.168.224.231,SID642717,2025-06-12 19:27:13
