alert_id,check_id,severity,status,assigned_to,opened_at,resolved_at,resolution_notes
1,1,LOW,RESOLVED,189,2024-10-16 03:01:00,2024-10-24 03:01:00,False positive
2,2,MEDIUM,RESOLVED,8,2024-11-23 23:57:00,2024-12-12 23:57:00,False positive
3,3,LOW,RESOLVED,167,2023-08-12 07:32:00,2023-08-30 07:32:00,Additional KYC completed
4,4,HIGH,RESOLVED,2,2024-07-12 13:14:00,2024-07-21 13:14:00,Customer documents verified
5,5,LOW,IN_PROGRESS,196,2024-12-15 13:21:00,,Escalated to compliance team
6,6,HIGH,OPEN,155,2023-04-15 02:24:00,,Escalated to compliance team
7,7,CRITICAL,RESOLVED,97,2025-04-06 01:46:00,2025-04-10 01:46:00,False positive
8,8,HIGH,RESOLVED,148,2024-07-19 09:53:00,2024-08-17 09:53:00,Customer documents verified
9,9,LOW,RESOLVED,21,2024-12-22 02:02:00,2025-01-16 02:02:00,Customer documents verified
10,10,MEDIUM,IN_PROGRESS,94,2025-06-06 03:24:00,,Customer documents verified
11,11,CRITICAL,RESOLVED,166,2024-01-15 11:13:00,2024-02-07 11:13:00,False positive
12,12,LOW,RESOLVED,98,2024-09-15 20:10:00,2024-09-23 20:10:00,Escalated to compliance team
13,13,LOW,IN_PROGRESS,197,2024-10-17 22:35:00,,False positive
14,14,LOW,IN_PROGRESS,55,2023-08-23 01:51:00,,Account temporarily blocked
15,15,MEDIUM,IN_PROGRESS,165,2025-06-16 22:20:00,,Risk accepted
16,16,MEDIUM,IN_PROGRESS,68,2023-05-27 08:08:00,,Additional KYC completed
17,17,LOW,RESOLVED,36,2024-08-21 13:57:00,2024-09-02 13:57:00,Account temporarily blocked
18,18,LOW,OPEN,161,2024-05-20 02:48:00,,Customer documents verified
19,19,LOW,RESOLVED,120,2025-03-22 21:27:00,2025-04-04 21:27:00,Account temporarily blocked
20,20,HIGH,CLOSED,175,2023-09-15 17:55:00,2023-10-07 17:55:00,Account temporarily blocked
21,21,LOW,RESOLVED,41,2025-02-07 08:49:00,2025-02-11 08:49:00,Risk accepted
22,22,HIGH,RESOLVED,130,2023-01-04 23:56:00,2023-01-21 23:56:00,False positive
23,23,MEDIUM,CLOSED,40,2025-06-10 20:19:00,2025-06-27 20:19:00,Escalated to compliance team
24,24,MEDIUM,CLOSED,1,2025-02-19 05:34:00,2025-03-21 05:34:00,Account temporarily blocked
