check_id,user_id,risk_score,aml_status,pep_check,sanction_check,result,remarks,checked_at
1,4507,95,PASS,True,True,REJECTED,No issues detected,2024-10-16 03:01:00
2,489,5,PASS,True,True,APPROVED,No issues detected,2023-03-31 18:27:00
3,8929,90,PASS,False,False,REJECTED,KYC verified,2023-07-23 22:41:00
4,5575,55,PASS,True,False,PENDING,KYC verified,2025-02-16 05:44:00
5,5636,46,PASS,True,False,PENDING,No issues detected,2023-04-05 12:06:00
6,4804,71,REVIEW,False,True,REJECTED,KYC verified,2023-05-08 12:05:00
7,4742,99,FAIL,True,True,REJECTED,High-risk profile,2023-02-16 21:14:00
8,2665,47,PASS,True,False,PENDING,KYC verified,2023-10-12 14:40:00
9,4011,69,PASS,False,False,PENDING,No issues detected,2024-09-15 20:10:00
10,917,99,PASS,True,False,REJECTED,High-risk profile,2023-08-13 21:20:00
11,5156,73,PASS,False,False,REJECTED,High-risk profile,2023-10-02 02:13:00
12,9198,32,PASS,False,False,PENDING,AML review pending,2023-05-27 08:08:00
13,1490,64,PASS,True,True,PENDING,Additional documents required,2023-08-13 04:32:00
14,1041,77,PASS,False,False,REJECTED,No issues detected,2025-03-22 21:27:00
15,1877,93,PASS,False,False,REJECTED,KYC verified,2025-05-31 00:43:00
16,54,59,FAIL,False,True,PENDING,No issues detected,2023-10-28 13:10:00
17,8318,82,PASS,True,False,REJECTED,Additional documents required,2023-04-19 20:19:00
18,9814,1,PASS,True,True,APPROVED,AML review pending,2024-07-06 16:58:00
19,3947,8,REVIEW,True,True,APPROVED,High-risk profile,2025-06-18 09:15:00
20,2061,69,PASS,False,True,PENDING,AML review pending,2025-04-15 02:48:00
21,8836,28,PASS,True,False,APPROVED,High-risk profile,2024-06-24 19:27:00
22,8480,57,PASS,True,True,PENDING,KYC verified,2024-11-18 20:23:00
23,3771,71,PASS,True,True,REJECTED,KYC verified,2023-12-13 00:37:00
24,5414,5,PASS,True,False,APPROVED,High-risk profile,2023-08-23 02:57:00
25,9356,93,PASS,True,False,REJECTED,High-risk profile,2023-08-08 17:08:00
26,7063,85,PASS,False,False,REJECTED,KYC verified,2023-07-14 03:06:00
27,994,13,PASS,False,True,APPROVED,Additional documents required,2024-11-20 20:41:00
28,2297,58,PASS,False,False,PENDING,Additional documents required,2023-07-16 06:34:00
29,1605,71,PASS,True,True,REJECTED,Additional documents required,2025-06-14 02:28:00
30,3503,62,REVIEW,True,True,PENDING,High-risk profile,2023-06-20 13:31:00
31,4674,59,PASS,False,True,PENDING,Additional documents required,2023-01-03 12:16:00
32,8884,75,PASS,False,True,REJECTED,KYC verified,2023-10-31 06:03:00
33,2580,68,PASS,True,True,PENDING,KYC verified,2024-08-21 15:32:00
34,6616,31,PASS,True,True,PENDING,No issues detected,2024-09-01 02:43:00
35,9261,75,PASS,False,True,REJECTED,AML review pending,2023-03-25 13:42:00
36,4916,17,PASS,True,True,APPROVED,High-risk profile,2023-09-02 08:25:00
37,8809,10,PASS,False,True,APPROVED,AML review pending,2024-09-28 18:06:00
38,2585,37,PASS,False,True,PENDING,No issues detected,2023-03-12 07:23:00
39,4334,18,PASS,True,True,APPROVED,AML review pending,2023-11-03 21:06:00
40,5618,92,PASS,False,False,REJECTED,AML review pending,2023-10-16 19:13:00
41,6940,82,REVIEW,True,True,REJECTED,AML review pending,2025-05-16 01:05:00
42,2648,34,PASS,False,True,PENDING,KYC verified,2025-02-28 04:40:00
43,8939,20,PASS,False,True,APPROVED,High-risk profile,2023-03-19 22:57:00
44,654,47,REVIEW,True,True,PENDING,KYC verified,2023-05-11 01:19:00
45,2533,53,REVIEW,True,True,PENDING,Additional documents required,2023-12-29 17:56:00
46,5443,95,PASS,False,True,REJECTED,AML review pending,2024-02-27 00:11:00
47,635,49,REVIEW,True,True,PENDING,High-risk profile,2023-06-13 22:06:00
48,3653,30,PASS,True,False,PENDING,AML review pending,2023-12-25 09:52:00
49,5754,36,PASS,False,False,PENDING,KYC verified,2023-10-13 02:49:00
50,4350,75,PASS,False,False,REJECTED,AML review pending,2023-04-29 08:11:00
51,6312,15,REVIEW,True,False,APPROVED,KYC verified,2024-03-22 19:32:00
52,8822,67,PASS,True,False,PENDING,High-risk profile,2024-12-26 13:00:00
53,5144,43,PASS,True,False,PENDING,No issues detected,2023-03-13 21:58:00
54,6593,42,PASS,True,True,PENDING,High-risk profile,2023-11-13 21:26:00
55,2852,96,PASS,False,False,REJECTED,No issues detected,2024-11-11 12:43:00
56,3444,37,PASS,False,False,PENDING,High-risk profile,2025-05-03 00:19:00
57,7753,66,PASS,True,True,PENDING,AML review pending,2024-03-28 21:13:00
58,5492,80,PASS,True,False,REJECTED,Additional documents required,2024-06-11 21:40:00
59,758,4,PASS,False,True,APPROVED,High-risk profile,2025-04-05 06:09:00
60,6292,25,PASS,True,True,APPROVED,KYC verified,2024-02-29 20:36:00
61,3586,55,PASS,False,True,PENDING,No issues detected,2025-02-07 03:49:00
62,7613,18,PASS,False,False,APPROVED,No issues detected,2023-09-13 03:29:00
63,6992,65,REVIEW,False,True,PENDING,High-risk profile,2025-04-14 23:57:00
64,4544,32,PASS,False,True,PENDING,AML review pending,2024-04-05 08:48:00
65,3842,37,PASS,False,True,PENDING,Additional documents required,2024-03-26 02:45:00
66,2504,89,PASS,True,False,REJECTED,High-risk profile,2023-06-04 07:24:00
67,1021,54,PASS,False,False,PENDING,No issues detected,2023-12-05 17:29:00
68,9433,98,PASS,True,False,REJECTED,AML review pending,2024-12-13 00:54:00
69,8819,54,PASS,True,False,PENDING,Additional documents required,2025-02-10 12:54:00
70,6372,4,PASS,False,True,APPROVED,High-risk profile,2023-10-07 13:31:00
71,6456,4,PASS,True,True,APPROVED,High-risk profile,2023-05-11 19:34:00
72,4263,7,PASS,True,False,APPROVED,AML review pending,2023-05-19 14:11:00
73,6907,97,PASS,True,False,REJECTED,KYC verified,2023-12-12 12:17:00
74,3674,45,PASS,True,True,PENDING,Additional documents required,2025-02-06 17:03:00
75,3909,20,PASS,True,True,APPROVED,High-risk profile,2023-07-24 00:39:00
76,2750,48,PASS,True,True,PENDING,AML review pending,2024-12-17 08:49:00
77,9434,40,PASS,False,False,PENDING,Additional documents required,2023-04-21 18:01:00
78,3979,81,PASS,False,True,REJECTED,No issues detected,2023-03-19 18:44:00
79,7019,69,PASS,True,False,PENDING,KYC verified,2025-03-12 01:22:00
80,1730,63,PASS,False,False,PENDING,Additional documents required,2025-05-19 13:52:00
81,4426,67,PASS,False,False,PENDING,High-risk profile,2024-03-21 05:46:00
82,5281,35,REVIEW,True,False,PENDING,High-risk profile,2025-04-25 23:37:00
83,6210,79,PASS,False,False,REJECTED,Additional documents required,2023-09-07 14:36:00
84,5577,34,PASS,False,True,PENDING,No issues detected,2024-05-14 06:22:00
85,6659,93,PASS,True,False,REJECTED,High-risk profile,2023-07-15 02:15:00
86,3631,38,PASS,True,False,PENDING,No issues detected,2024-04-03 00:05:00
87,5633,68,PASS,False,False,PENDING,High-risk profile,2024-01-13 15:35:00
88,1977,30,PASS,False,True,PENDING,No issues detected,2023-10-05 09:16:00
89,3546,25,PASS,False,False,APPROVED,KYC verified,2025-02-19 22:11:00
90,5913,30,PASS,True,True,PENDING,AML review pending,2025-05-02 06:18:00
91,2069,38,PASS,False,True,PENDING,KYC verified,2023-02-16 01:35:00
92,7217,62,PASS,True,False,PENDING,High-risk profile,2024-08-10 09:30:00
93,1214,63,PASS,True,True,PENDING,Additional documents required,2023-04-27 02:25:00
94,4067,11,PASS,False,True,APPROVED,No issues detected,2025-04-10 18:19:00
95,4872,57,REVIEW,False,False,PENDING,No issues detected,2024-01-25 14:58:00
96,1626,95,REVIEW,True,True,REJECTED,AML review pending,2024-09-27 01:39:00
97,2848,31,PASS,True,True,PENDING,High-risk profile,2024-11-07 02:10:00
98,4772,61,PASS,False,False,PENDING,High-risk profile,2024-04-06 22:38:00
99,9664,34,PASS,True,False,PENDING,KYC verified,2023-03-14 21:14:00
100,4353,20,REVIEW,True,True,APPROVED,Additional documents required,2024-07-11 07:41:00
101,9326,96,REVIEW,False,True,REJECTED,High-risk profile,2025-03-22 09:38:00
102,4461,52,PASS,False,False,PENDING,KYC verified,2024-12-06 09:44:00
103,5281,56,PASS,True,True,PENDING,Additional documents required,2024-09-04 01:56:00
104,4416,3,PASS,True,False,APPROVED,No issues detected,2024-11-21 18:37:00
105,2974,36,FAIL,False,False,PENDING,KYC verified,2024-10-29 14:58:00
106,5261,43,PASS,True,False,PENDING,High-risk profile,2024-04-26 11:26:00
107,6562,85,REVIEW,True,False,REJECTED,KYC verified,2024-12-11 15:18:00
108,6623,15,REVIEW,True,False,APPROVED,High-risk profile,2023-11-19 08:20:00
109,8168,47,PASS,True,True,PENDING,AML review pending,2023-02-25 06:33:00
110,7179,37,REVIEW,False,True,PENDING,KYC verified,2024-07-16 04:59:00
111,2595,31,PASS,True,False,PENDING,KYC verified,2024-10-07 19:51:00
112,2523,16,PASS,False,False,APPROVED,High-risk profile,2023-08-19 03:29:00
113,7484,32,PASS,False,True,PENDING,No issues detected,2025-05-04 15:30:00
114,1144,18,PASS,False,False,APPROVED,No issues detected,2024-06-04 23:56:00
