investment_id,user_id,fund_id,investment_type,sip_amount,lumpsum_amount,units,purchase_nav,current_nav,current_value,returns_percent,status,created_at
1,1825,7,LUMPSUM,,50000.0,741.2898,67.45,83.76,62090.43,24.18,ACTIVE,2025-10-17 00:00:00
2,9675,109,SIP,500.0,,97.9211,66.38,73.23,7170.76,10.32,COMPLETED,2025-02-23 00:00:00
3,8929,108,SIP,3000.0,,2239.6417,80.37,106.22,237894.74,32.16,CLOSED,2022-11-23 00:00:00
4,5575,72,SIP,10000.0,,1912.8587,94.1,80.52,154023.38,-14.43,PAUSED,2024-01-06 00:00:00
5,9892,68,LUMPSUM,,200000.0,1418.3391,141.01,195.14,276774.69,38.39,ACTIVE,2024-02-15 00:00:00
6,9045,76,LUMPSUM,,100000.0,663.6581,150.68,184.24,122272.37,22.27,COMPLETED,2022-04-04 00:00:00
7,4742,21,LUMPSUM,,25000.0,239.6243,104.33,111.85,26801.98,7.21,COMPLETED,2024-01-18 00:00:00
8,6066,91,SIP,1500.0,,133.3852,179.93,217.74,29043.29,21.01,COMPLETED,2025-06-01 00:00:00
9,8752,187,SIP,2000.0,,998.3681,104.17,145.18,144943.08,39.37,COMPLETED,2025-11-10 00:00:00
10,5314,216,LUMPSUM,,25000.0,363.2137,68.83,56.39,20481.62,-18.07,CLOSED,2023-10-09 00:00:00
11,4387,17,SIP,3000.0,,719.6198,220.95,218.48,157222.53,-1.12,CLOSED,2024-10-19 00:00:00
12,7518,37,SIP,1000.0,,310.412,190.07,213.52,66279.17,12.34,CLOSED,2025-04-12 00:00:00
13,9561,103,SIP,1000.0,,111.3255,134.74,115.14,12818.02,-14.55,COMPLETED,2022-08-13 00:00:00
14,2622,203,SIP,3000.0,,4109.589,29.93,30.8,126575.34,2.91,PAUSED,2024-12-19 00:00:00
15,9065,221,STP,,,258.4205,174.87,151.91,39256.66,-13.13,PAUSED,2023-07-01 00:00:00
16,1828,76,SIP,2000.0,,7360.4061,15.76,19.44,143086.29,23.35,COMPLETED,2023-06-24 00:00:00
