notification_id,user_id,channel,title,message,read_status,sent_at
1,4507,SMS,KYC Update,Please complete your pending KYC verification.,True,2024-10-16 03:01:00
2,8936,EMAIL,Compliance Notification,A new transaction has been recorded.,True,2024-11-23 23:57:00
3,3812,EMAIL,Compliance Notification,Please complete your pending KYC verification.,False,2023-01-31 02:13:00
4,4558,EMAIL,KYC Update,Today's NAV has been updated.,False,2023-08-14 14:37:00
5,3528,PUSH,SIP Installment Successful,Your SIP installment has been processed successfully.,False,2023-12-15 08:09:00
6,5636,PUSH,SIP Installment Successful,Today's NAV has been updated.,False,2023-04-10 11:54:00
7,6202,EMAIL,Compliance Notification,Your portfolio value has been updated.,False,2024-07-03 03:59:00
8,1140,EMAIL,NAV Update,Please complete your pending KYC verification.,False,2024-08-14 06:45:00
9,1655,IN_APP,Portfolio Update,A new transaction has been recorded.,False,2023-03-23 07:55:00
10,3433,PUSH,NAV Update,Today's NAV has been updated.,True,2023-06-16 11:22:00
11,8752,SMS,KYC Update,A new transaction has been recorded.,False,2024-09-15 20:10:00
12,9126,SMS,NAV Update,Your portfolio value has been updated.,True,2023-10-04 20:44:00
13,5169,IN_APP,Portfolio Update,Your SIP installment has been processed successfully.,True,2023-08-23 01:51:00
14,3484,IN_APP,Transaction Alert,Today's NAV has been updated.,False,2024-08-03 22:20:00
15,4041,PUSH,NAV Update,Compliance review requires your attention.,False,2023-05-27 08:08:00
16,3594,SMS,Compliance Notification,A new transaction has been recorded.,True,2024-08-20 12:23:00
17,1797,SMS,NAV Update,Please complete your pending KYC verification.,False,2025-02-12 01:55:00
18,6253,IN_APP,Compliance Notification,Your portfolio value has been updated.,True,2024-09-02 02:24:00
19,8798,PUSH,NAV Update,Your portfolio value has been updated.,True,2024-11-27 23:07:00
20,7434,EMAIL,NAV Update,Today's NAV has been updated.,False,2023-10-28 13:10:00
21,1744,PUSH,NAV Update,Compliance review requires your attention.,True,2024-05-27 05:32:00
22,2647,EMAIL,Compliance Notification,Your portfolio value has been updated.,False,2023-06-06 11:48:00
23,5948,PUSH,KYC Update,Your SIP installment has been processed successfully.,True,2023-01-20 03:59:00
24,1404,IN_APP,SIP Installment Successful,Compliance review requires your attention.,True,2025-06-18 18:05:00
25,9008,SMS,Portfolio Update,Compliance review requires your attention.,False,2023-05-12 21:30:00
26,3296,PUSH,Transaction Alert,Today's NAV has been updated.,False,2023-08-05 17:48:00
27,1983,SMS,KYC Update,Your SIP installment has been processed successfully.,False,2024-03-24 16:28:00
28,3771,SMS,SIP Installment Successful,Your SIP installment has been processed successfully.,True,2023-01-22 18:35:00
