transaction_id,investment_id,user_id,fund_id,transaction_type,amount,units,nav,stamp_duty,exit_load,settlement_date,status,created_at
1,1,858,69,SIP,10000,114.5475,87.3,0.5,0.0,2022-03-20,SETTLED,2022-03-20 17:35:00
2,2,5443,88,REDEMPTION,1500,30.5064,49.17,0.07,15.0,2025-02-22,FAILED,2025-02-22 12:10:00
3,3,28,232,SIP,1000,3.7764,264.8,0.05,0.0,2024-02-13,SUCCESS,2024-02-13 09:20:00
4,4,7346,27,STP,1000,4.9147,203.47,0.05,10.0,2022-09-16,SUCCESS,2022-09-16 13:58:00
5,5,7056,147,SIP,25000,98.8259,252.97,1.25,0.0,2023-09-17,FAILED,2023-09-17 17:51:00
6,6,7913,53,REDEMPTION,50000,287.687,173.8,2.5,500.0,2023-10-08,SUCCESS,2023-10-08 15:57:00
7,7,8401,112,PURCHASE,25000,155.2988,160.98,1.25,0.0,2024-05-09,FAILED,2024-05-09 17:02:00
8,8,2974,186,REDEMPTION,25000,124.4772,200.84,1.25,250.0,2022-12-15,FAILED,2022-12-15 14:35:00
9,9,6410,227,SIP,25000,204.215,122.42,1.25,0.0,2023-11-20,SUCCESS,2023-11-20 12:37:00
10,10,1445,213,PURCHASE,500,1.8527,269.88,0.03,0.0,2023-04-15,SETTLED,2023-04-15 17:32:00
11,11,979,164,SIP,25000,86.3319,289.58,1.25,0.0,2025-07-14,PENDING,2025-07-14 17:30:00
12,12,2910,40,SWP,25000,208.6986,119.79,1.25,250.0,2024-08-02,SUCCESS,2024-08-02 09:08:00
13,13,7477,50,SIP,5000,23.9647,208.64,0.25,0.0,2024-06-08,SETTLED,2024-06-08 09:06:00
14,14,1026,131,SIP,1000,29.3772,34.04,0.05,0.0,2022-01-18,SETTLED,2022-01-18 10:34:00
15,15,6623,8,SWP,3000,10.4468,287.17,0.15,30.0,2022-03-09,FAILED,2022-03-09 15:22:00
16,16,390,164,PURCHASE,1500,5.6321,266.33,0.07,0.0,2024-05-08,SUCCESS,2024-05-08 11:23:00
17,17,3850,191,SIP,500,2.1754,229.84,0.03,0.0,2024-03-04,FAILED,2024-03-04 11:58:00
18,18,4771,199,REDEMPTION,5000,107.1123,46.68,0.25,50.0,2023-11-23,SUCCESS,2023-11-23 11:51:00
19,19,9656,99,SIP,1500,10.5731,141.87,0.07,0.0,2022-02-12,FAILED,2022-02-12 16:55:00
20,20,7392,78,SIP,500,8.9302,55.99,0.03,0.0,2023-10-28,PENDING,2023-10-28 14:32:00
21,21,1717,140,PURCHASE,2000,7.4322,269.1,0.1,0.0,2023-11-28,SUCCESS,2023-11-28 13:59:00
22,22,8296,63,SIP,5000,57.6568,86.72,0.25,0.0,2022-03-30,SUCCESS,2022-03-30 12:32:00
23,23,3269,195,SWP,500,7.5403,66.31,0.03,5.0,2025-03-02,PENDING,2025-03-02 10:38:00
24,24,5195,22,SIP,50000,1026.4833,48.71,2.5,0.0,2024-12-30,PENDING,2024-12-30 16:31:00
25,25,6527,199,SIP,25000,229.8851,108.75,1.25,0.0,2023-04-05,PENDING,2023-04-05 18:40:00
26,26,98,230,PURCHASE,25000,228.1438,109.58,1.25,0.0,2025-04-12,SUCCESS,2025-04-12 09:23:00
27,27,7550,93,SWP,10000,98.5222,101.5,0.5,100.0,2023-03-20,SETTLED,2023-03-20 14:51:00
28,28,3154,211,SWP,10000,34.0832,293.4,0.5,100.0,2022-05-08,SETTLED,2022-05-08 15:32:00
29,29,4350,213,STP,50000,419.6039,119.16,2.5,500.0,2022-05-22,FAILED,2022-05-22 10:58:00
30,30,4349,129,REDEMPTION,5000,192.9012,25.92,0.25,50.0,2024-02-19,SUCCESS,2024-02-19 18:24:00
31,31,4891,28,SIP,5000,62.2123,80.37,0.25,0.0,2024-07-01,FAILED,2024-07-01 16:36:00
32,32,9364,89,SIP,25000,160.9891,155.29,1.25,0.0,2023-07-18,FAILED,2023-07-18 09:11:00
33,33,2021,6,SIP,25000,112.2133,222.79,1.25,0.0,2024-09-04,SUCCESS,2024-09-04 16:34:00
34,34,2320,84,REDEMPTION,2000,10.9093,183.33,0.1,20.0,2022-03-07,SETTLED,2022-03-07 17:57:00
35,35,9854,199,STP,500,4.8553,102.98,0.03,5.0,2024-03-02,PENDING,2024-03-02 10:55:00
36,36,4152,73,SIP,10000,87.943,113.71,0.5,0.0,2022-03-30,SUCCESS,2022-03-30 16:43:00
37,37,2700,51,SIP,50000,860.2891,58.12,2.5,0.0,2024-12-23,PENDING,2024-12-23 13:31:00
38,38,7658,58,SIP,1000,25.0376,39.94,0.05,0.0,2025-06-09,FAILED,2025-06-09 12:33:00
39,39,1111,163,STP,10000,41.4336,241.35,0.5,100.0,2024-07-07,SUCCESS,2024-07-07 09:36:00
40,40,7089,195,PURCHASE,50000,440.9949,113.38,2.5,0.0,2024-10-07,PENDING,2024-10-07 12:59:00
41,41,3468,62,SWP,2000,7.3017,273.91,0.1,20.0,2022-05-31,SETTLED,2022-05-31 09:00:00
42,42,6754,168,SIP,500,22.5938,22.13,0.03,0.0,2023-05-20,SETTLED,2023-05-20 13:59:00
43,43,3047,78,SIP,5000,69.9496,71.48,0.25,0.0,2022-02-23,FAILED,2022-02-23 11:29:00
44,44,3686,107,SIP,10000,81.103,123.3,0.5,0.0,2023-01-22,SETTLED,2023-01-22 10:57:00
45,45,8142,223,SIP,1500,10.1392,147.94,0.07,0.0,2022-08-07,PENDING,2022-08-07 10:29:00
46,46,5782,142,PURCHASE,25000,155.2313,161.05,1.25,0.0,2023-08-15,FAILED,2023-08-15 12:24:00
47,47,774,28,SIP,1000,5.4969,181.92,0.05,0.0,2023-10-28,SUCCESS,2023-10-28 12:24:00
48,48,2946,108,SIP,25000,492.4168,50.77,1.25,0.0,2022-01-11,PENDING,2022-01-11 10:21:00
49,49,530,26,SIP,25000,185.515,134.76,1.25,0.0,2023-02-16,SETTLED,2023-02-16 09:03:00
50,50,2486,30,SIP,1000,20.4248,48.96,0.05,0.0,2022-03-26,FAILED,2022-03-26 16:51:00
51,51,3381,210,SIP,10000,91.7263,109.02,0.5,0.0,2022-10-20,SUCCESS,2022-10-20 09:18:00
52,52,5364,172,SIP,2000,8.1218,246.25,0.1,0.0,2022-04-29,SUCCESS,2022-04-29 10:59:00
53,53,4091,74,SIP,50000,208.4549,239.86,2.5,0.0,2025-05-23,FAILED,2025-05-23 15:35:00
54,54,6026,95,PURCHASE,10000,37.8387,264.28,0.5,0.0,2025-05-19,FAILED,2025-05-19 14:20:00
55,55,54,205,SIP,500,2.5314,197.52,0.03,0.0,2022-06-13,SETTLED,2022-06-13 11:39:00
56,56,5336,114,REDEMPTION,50000,739.3169,67.63,2.5,500.0,2025-07-24,SUCCESS,2025-07-24 12:13:00
57,57,5870,110,PURCHASE,3000,15.0368,199.51,0.15,0.0,2025-02-06,PENDING,2025-02-06 15:01:00
58,58,4266,187,SIP,1500,6.3497,236.23,0.07,0.0,2024-01-19,PENDING,2024-01-19 10:08:00
59,59,9908,26,SIP,1000,8.7169,114.72,0.05,0.0,2023-06-06,FAILED,2023-06-06 11:16:00
60,60,6730,24,PURCHASE,50000,208.5071,239.8,2.5,0.0,2022-09-02,SUCCESS,2022-09-02 14:18:00
61,61,5054,113,SWP,500,13.4626,37.14,0.03,5.0,2022-08-20,SUCCESS,2022-08-20 16:53:00
62,62,6362,210,STP,5000,17.6392,283.46,0.25,50.0,2023-01-05,PENDING,2023-01-05 15:00:00
63,63,6806,54,SIP,500,2.0473,244.23,0.03,0.0,2022-09-23,SUCCESS,2022-09-23 11:34:00
64,64,4370,108,SIP,10000,39.9776,250.14,0.5,0.0,2022-05-13,SUCCESS,2022-05-13 10:50:00
65,65,9322,101,SIP,500,2.5634,195.05,0.03,0.0,2025-01-18,PENDING,2025-01-18 13:19:00
66,66,9789,141,PURCHASE,5000,16.7791,297.99,0.25,0.0,2025-09-25,PENDING,2025-09-25 13:18:00
67,67,3277,110,SIP,500,3.771,132.59,0.03,0.0,2022-11-12,PENDING,2022-11-12 09:35:00
68,68,3644,230,REDEMPTION,25000,140.6866,177.7,1.25,250.0,2023-01-24,SETTLED,2023-01-24 18:45:00
69,69,7112,183,SIP,5000,158.0278,31.64,0.25,0.0,2023-03-19,SUCCESS,2023-03-19 16:02:00
70,70,8765,238,SIP,500,7.1033,70.39,0.03,0.0,2022-03-14,PENDING,2022-03-14 17:06:00
71,71,832,215,SIP,25000,132.6753,188.43,1.25,0.0,2023-11-15,PENDING,2023-11-15 15:27:00
72,72,1703,23,SIP,1500,7.4854,200.39,0.07,0.0,2025-08-11,PENDING,2025-08-11 18:19:00
73,73,5977,131,SIP,3000,32.5168,92.26,0.15,0.0,2023-01-12,SUCCESS,2023-01-12 09:56:00
74,74,9509,155,PURCHASE,50000,217.3157,230.08,2.5,0.0,2025-09-21,SUCCESS,2025-09-21 16:58:00
75,75,4036,161,PURCHASE,50000,335.5029,149.03,2.5,0.0,2024-02-01,FAILED,2024-02-01 16:23:00
76,76,4657,214,SIP,5000,73.9426,67.62,0.25,0.0,2022-03-23,FAILED,2022-03-23 09:37:00
77,77,1587,126,REDEMPTION,10000,49.4169,202.36,0.5,100.0,2022-08-03,SUCCESS,2022-08-03 12:36:00
78,78,6287,250,SIP,1000,4.321,231.43,0.05,0.0,2024-09-26,PENDING,2024-09-26 17:31:00
79,79,5493,81,STP,10000,42.0575,237.77,0.5,100.0,2025-08-21,FAILED,2025-08-21 14:43:00
80,80,7879,46,SIP,500,2.377,210.35,0.03,0.0,2025-12-27,PENDING,2025-12-27 14:59:00
81,81,664,36,SIP,1500,7.1846,208.78,0.07,0.0,2024-03-28,PENDING,2024-03-28 17:56:00
82,82,4081,131,SWP,1500,6.4138,233.87,0.07,15.0,2024-09-22,SUCCESS,2024-09-22 16:09:00
83,83,4534,90,SWP,50000,256.2132,195.15,2.5,500.0,2023-04-06,SUCCESS,2023-04-06 15:47:00
84,84,7740,102,SIP,10000,38.345,260.79,0.5,0.0,2025-11-28,SUCCESS,2025-11-28 14:28:00
85,85,7600,4,SIP,5000,43.1444,115.89,0.25,0.0,2023-05-04,SETTLED,2023-05-04 18:44:00
86,86,5590,171,SIP,1500,32.0993,46.73,0.07,0.0,2024-07-08,PENDING,2024-07-08 16:27:00
87,87,234,90,STP,1500,17.0338,88.06,0.07,15.0,2024-01-01,FAILED,2024-01-01 10:22:00
88,88,3373,204,SIP,50000,1057.5296,47.28,2.5,0.0,2024-11-25,SUCCESS,2024-11-25 18:31:00
89,89,8445,108,SIP,25000,874.4316,28.59,1.25,0.0,2023-01-21,PENDING,2023-01-21 14:14:00
90,90,5392,179,SIP,25000,569.2168,43.92,1.25,0.0,2022-05-31,FAILED,2022-05-31 17:24:00
